					Velocity	Cruising	Cruising	Bursting	Bursting	Freezing	Freezing	Turn angle	Meander	Angular velocity	Rotation	Rotation 2
High	Trial     6	B2	0:17:00-0:18:00	In Arena	9.66066	531	24.84	19	3.96	60	15.32	64.927	6.27574	1623.18	6	7
High	Trial     6	B2	0:18:00-0:19:00	In Arena	9.66407	570	26.12	19	3.64	46	12.12	61.5133	5.39098	1537.83	4	8
High	Trial     6	B2	0:19:00-0:20:00	In Arena	10.3734	532	25.4	20	4.28	47	14.28	60.2809	6.42333	1507.02	5	3
High	Trial     6	B2	0:20:00-0:21:00	In Arena	3.49255	146	6.96	10	1.48	26	47.84	96.8803	37.6097	2422.01	3	3
High	Trial     6	B2	0:21:00-0:22:00	In Arena	2.05637	82	3.44	1	0.16	20	53.72	111.657	49.172	2791.43	2	5
High	Trial     6	B2	0:22:00-0:23:00	In Arena	2.11155	70	3.52	3	0.8	13	53.96	117.445	43.6832	2936.12	3	2
High	Trial     6	B2	0:23:00-0:24:00	In Arena	2.03546	48	2.88	5	1.04	11	55.32	112.861	52.903	2821.53	3	5
High	Trial     6	B2	0:24:00-0:25:00	In Arena	1.01536	28	1.32	1	0.24	7	57.68	120.098	75.2232	3002.45	0	1
High	Trial     6	B2	0:25:00-0:26:00	In Arena	0.877361	10	0.6	1	0.24	3	59.08	118.196	61.501	2954.89	1	0
High	Trial     6	B2	0:26:00-0:27:00	In Arena	1.2697	20	1.2	3	0.48	2	57.96	119.194	58.074	2979.86	1	1
High	Trial     6	B2	0:27:00-0:28:00	In Arena	1.19505	25	1.32	1	0.32	10	58	116.586	59.1589	2914.65	2	2
High	Trial     6	B2	0:28:00-0:29:00	In Arena	1.13758	0	0	0	0	1	60	117.001	44.4302	2925.03	0	0
High	Trial     6	B2	0:29:00-0:30:00	In Arena	0.99341	0	0	0	0	1	60	120.189	49.6988	3004.73	0	0
High	Trial     6	B2	0:30:00-0:31:00	In Arena	9.62509	470	23.28	23	4.8	49	18.96	78.054	12.9507	1951.35	8	10
High	Trial     6	B2	0:31:00-0:32:00	In Arena	8.89095	456	22.72	24	4.96	53	20.2	73.5658	11.8871	1839.14	7	8
High	Trial     6	B2	0:32:00-0:33:00	In Arena	8.24163	466	22.04	18	3.72	48	20.16	63.0824	11.7283	1577.06	9	3
High	Trial     6	B2	0:33:00-0:34:00	In Arena	9.58723	481	23.4	22	4.6	29	18.08	65.1335	10.3065	1628.34	3	4
High	Trial     6	B2	0:34:00-0:35:00	In Arena	10.6211	578	27	20	4.2	30	10.56	56.6134	6.85068	1415.33	7	0
High	Trial     6	B2	0:35:00-0:36:00	In Arena	4.33015	178	8.84	12	1.96	23	44.52	96.38	38.5666	2409.5	6	6
High	Trial     6	B2	0:36:00-0:37:00	In Arena	0.866253	4	0.36	1	0.24	2	59.48	119.449	54.0131	2986.22	0	0
High	Trial     6	B2	0:37:00-0:38:00	In Arena	0.734787	12	0.48	0	0	2	59.08	119.432	68.7001	2985.81	0	1
High	Trial     6	B2	0:38:00-0:39:00	In Arena	1.81078	50	2.84	4	0.92	12	55.56	114.646	54.8071	2866.14	4	2
High	Trial     6	B2	0:39:00-0:40:00	In Arena	1.33313	23	1.36	3	0.48	4	57.8	114.727	56.8542	2868.18	3	0
High	Trial     6	B2	0:40:00-0:41:00	In Arena	0.984463	12	0.68	1	0.2	3	58.88	119.363	56.1671	2984.08	2	0
High	Trial     6	B2	0:41:00-0:42:00	In Arena	0.590445	0	0	0	0	1	60	125.062	67.7023	3126.55	0	0
High	Trial     6	B2	0:42:00-0:43:00	In Arena	1.72633	29	2.28	3	1.2	6	56.72	117.169	62.9353	2929.22	2	0
High	Trial     6	B2	0:43:00-0:44:00	In Arena	0.868606	4	0.64	1	0.52	2	59.2	120.698	77.178	3017.44	1	0
High	Trial     6	B2	0:44:00-0:45:00	In Arena	0.796942	11	0.56	1	0.12	2	2.08	123.697	62.1836	3092.44	0	0
High	Trial     6	C4	Start-0:01:00	In Arena	1.58078	18	0.92	1	0.24	9	28.68	119.693	55.5131	2992.31	4	4
High	Trial     6	C4	0:01:00-0:02:00	In Arena	0.628035	0	0	0	0	1	60	120.918	62.0909	3022.95	0	0
High	Trial     6	C4	0:02:00-0:03:00	In Arena	0.853994	4	0.44	1	0.28	2	59.4	118.27	61.0162	2956.75	0	0
High	Trial     6	C4	0:03:00-0:04:00	In Arena	1.08303	29	1.16	0	0	11	57.92	116.925	55.316	2923.13	2	2
High	Trial     6	C4	0:04:00-0:05:00	In Arena	0.683432	0	0	0	0	1	60	118.816	59.657	2970.41	0	0
High	Trial     6	C4	0:05:00-0:06:00	In Arena	0.728979	4	0.16	0	0	2	59.72	119.76	59.4553	2994.01	0	0
High	Trial     6	C4	0:06:00-0:07:00	In Arena	0.659325	0	0	0	0	1	60	121.083	65.2082	3027.08	0	0
High	Trial     6	C4	0:07:00-0:08:00	In Arena	1.34733	13	1.28	4	0.88	4	58.24	118.998	59.0623	2974.95	0	0
High	Trial     6	C4	0:08:00-0:09:00	In Arena	1.19098	32	1.48	1	0.2	8	57.44	120.265	62.1528	3006.62	2	2
High	Trial     6	C4	0:09:00-0:10:00	In Arena	1.10138	12	0.92	2	0.44	4	58.72	119.127	57.0279	2978.19	0	2
High	Trial     6	C4	0:10:00-0:11:00	In Arena	0.925832	8	0.48	1	0.2	2	59.2	116.981	59.7574	2924.53	0	1
High	Trial     6	C4	0:11:00-0:12:00	In Arena	1.01003	27	1.16	1	0.08	7	57.96	120.413	63.0436	3010.31	3	2
High	Trial     6	C4	0:12:00-0:13:00	In Arena	0.991383	11	0.8	2	0.4	3	58.8	120.163	62.7301	3004.08	2	0
High	Trial     6	C4	0:13:00-0:14:00	In Arena	0.852001	7	0.44	1	0.2	2	59.32	121.263	60.7259	3031.58	0	1
High	Trial     6	C4	0:14:00-0:15:00	In Arena	1.14131	8	0.56	1	0.28	6	59.08	119.969	51.1349	2999.22	0	3
High	Trial     6	C4	0:15:00-0:16:00	In Arena	8.30403	440	21.04	20	3.96	53	22.48	85.8817	14.3708	2147.04	7	8
High	Trial     6	C4	0:16:00-0:17:00	In Arena	6.12695	327	15.08	11	2.24	77	31.56	94.3315	16.0447	2358.29	12	18
High	Trial     6	C4	0:17:00-0:18:00	In Arena	6.77205	382	17.08	9	1.92	64	21.44	89.6545	13.1551	2241.36	6	13
High	Trial     6	C4	0:18:00-0:19:00	In Arena	8.14994	481	22.8	18	4.08	44	18.72	82.4278	11.7968	2060.7	3	6
High	Trial     6	C4	0:19:00-0:20:00	In Arena	7.62142	394	19.64	21	4.16	74	25.88	86.5185	13.3675	2162.96	8	12
High	Trial     6	C4	0:20:00-0:21:00	In Arena	2.23386	101	4.32	1	0.32	17	51.88	109.261	46.9667	2731.52	1	4
High	Trial     6	C4	0:21:00-0:22:00	In Arena	0.613102	0	0	0	0	1	60	120.85	73.6543	3021.25	0	0
High	Trial     6	C4	0:22:00-0:23:00	In Arena	1.09014	4	0.68	2	0.56	2	59.2	118.946	60.1227	2973.65	0	0
High	Trial     6	C4	0:23:00-0:24:00	In Arena	0.683341	0	0	0	0	2	59.96	119.023	59.6641	2975.57	0	0
High	Trial     6	C4	0:24:00-0:25:00	In Arena	1.09333	11	0.76	2	0.36	3	58.84	118.982	62.5106	2974.55	0	0
High	Trial     6	C4	0:25:00-0:26:00	In Arena	1.18962	34	1.72	3	0.36	8	57.16	118.575	61.3458	2964.37	1	2
High	Trial     6	C4	0:26:00-0:27:00	In Arena	0.807586	7	0.28	0	0	3	59.4	120.88	59.5476	3021.99	1	0
High	Trial     6	C4	0:27:00-0:28:00	In Arena	0.884014	3	0.36	1	0.28	2	59.52	118.838	61.3984	2970.95	0	0
High	Trial     6	C4	0:28:00-0:29:00	In Arena	1.17628	20	1.16	2	0.4	4	58.16	121.208	57.1534	3030.19	2	0
High	Trial     6	C4	0:29:00-0:30:00	In Arena	0.709584	0	0	0	0	1	60	122.956	57.7808	3073.9	0	0
High	Trial     6	C4	0:30:00-0:31:00	In Arena	7.72012	322	16.32	15	3.72	55	30.84	94.0399	19.9106	2351	8	11
High	Trial     6	C4	0:31:00-0:32:00	In Arena	3.93491	142	7.24	9	1.76	32	47.96	104.106	35.29	2602.65	2	9
High	Trial     6	C4	0:32:00-0:33:00	In Arena	3.86437	209	9	4	0.72	47	43.16	106.089	32.8393	2652.22	9	12
High	Trial     6	C4	0:33:00-0:34:00	In Arena	3.60416	147	7.2	8	1.52	49	47.36	104.784	36.3258	2619.6	8	10
High	Trial     6	C4	0:34:00-0:35:00	In Arena	2.47195	116	4.92	4	0.4	31	51.04	106.317	41.6894	2657.94	0	5
High	Trial     6	C4	0:35:00-0:36:00	In Arena	3.19876	148	6.28	5	0.44	37	48.6	105.808	37.2143	2645.21	4	5
High	Trial     6	C4	0:36:00-0:37:00	In Arena	0.827217	8	0.32	0	0	2	59.44	118.137	55.8612	2953.42	0	0
High	Trial     6	C4	0:37:00-0:38:00	In Arena	1.29883	22	1.08	1	0.2	5	38.04	117.035	58.0137	2925.88	2	2
High	Trial     6	C4	0:38:00-0:39:00	In Arena	2.05679	65	3.08	3	0.6	17	42.08	114.045	43.6346	2851.14	2	2
High	Trial     6	C4	0:39:00-0:40:00	In Arena	1.37015	28	1.72	3	0.6	8	57.24	117.412	55.6176	2935.29	1	3
High	Trial     6	C4	0:40:00-0:41:00	In Arena	2.00083	82	3.92	5	0.68	16	53.12	113.032	52.1038	2825.81	2	2
High	Trial     6	C4	0:41:00-0:42:00	In Arena	1.88977	49	2.72	4	0.88	7	55.4	111.638	52.5679	2790.94	1	1
High	Trial     6	C4	0:42:00-0:43:00	In Arena	1.92159	56	3	6	0.88	11	54.84	111.629	56.9124	2790.73	0	0
High	Trial     6	C4	0:43:00-0:44:00	In Arena	2.27106	46	2.88	4	1.16	9	33.48	115.735	57.5405	2893.37	2	2
High	Trial     6	C4	0:44:00-0:45:00	In Arena	0.690936	0	0	0	0	0	0	120.128	58.2485	3003.21	0	0
Low	Trial     1	A3	Start-0:01:00	In Arena	2.04898	27	1.52	3	0.56	8	44.84	115.577	39.2473	2889.42	1	6
Low	Trial     1	A3	0:01:00-0:02:00	In Arena	5.55582	230	11.88	12	2.92	43	39.96	92.1043	23.7369	2302.61	10	9
Low	Trial     1	A3	0:02:00-0:03:00	In Arena	3.35801	111	6.16	11	1.8	32	50.24	100.059	38.4077	2501.48	6	6
Low	Trial     1	A3	0:03:00-0:04:00	In Arena	3.81767	150	7.24	7	1.36	36	47.44	106.43	28.3234	2660.75	5	10
Low	Trial     1	A3	0:04:00-0:05:00	In Arena	1.31889	6	0.24	0	0	6	59.56	120.966	42.5173	3024.15	5	5
Low	Trial     1	A3	0:05:00-0:06:00	In Arena	1.71493	29	2.12	6	1.04	11	56.8	112.846	60.984	2821.14	1	4
Low	Trial     1	A3	0:06:00-0:07:00	In Arena	1.83445	29	2	5	1	12	57.2	114.915	44.686	2872.87	1	3
Low	Trial     1	A3	0:07:00-0:08:00	In Arena	2.95598	91	4.56	5	0.96	42	52.68	114.402	37.3632	2860.05	10	15
Low	Trial     1	A3	0:08:00-0:09:00	In Arena	1.71594	13	1.6	5	1.12	9	57.88	115.062	45.4252	2876.54	1	1
Low	Trial     1	A3	0:09:00-0:10:00	In Arena	3.48158	132	5.28	0	0	82	51.28	122.405	20.9382	3060.13	19	24
Low	Trial     1	A3	0:10:00-0:11:00	In Arena	4.50163	60	2.4	0	0	30	7.12	123.856	17.9375	3096.41	8	10
Low	Trial     1	A3	0:11:00-0:12:00	In Arena	NA	0	0	0	0	3	0.48	NA	NA	NA	0	0
Low	Trial     1	A3	0:12:00-0:13:00	In Arena	5.22272	9	0.92	0	0	5	0.92	11.8765	0.885166	296.913	0	3
Low	Trial     1	A3	0:13:00-0:14:00	In Arena	6.52102	6	0.84	2	0.32	12	2.24	NA	NA	NA	2	0
Low	Trial     1	A3	0:14:00-0:15:00	In Arena	1.64089	15	0.6	1	0.04	4	27.96	118.835	36.2452	2970.88	1	4
Low	Trial     1	A3	0:15:00-0:16:00	In Arena	3.28513	150	6.84	5	0.96	27	47.8	102.495	30.8967	2562.37	3	8
Low	Trial     1	A3	0:16:00-0:17:00	In Arena	1.04728	1	0.04	0	0	2	59.96	121.611	46.2964	3040.27	0	1
Low	Trial     1	A3	0:17:00-0:18:00	In Arena	3.59039	150	7	6	1.04	32	47.84	101.881	26.5451	2547.02	6	7
Low	Trial     1	A3	0:18:00-0:19:00	In Arena	0.86309	0	0	0	0	1	60	120.316	50.7486	3007.9	0	0
Low	Trial     1	A3	0:19:00-0:20:00	In Arena	1.00553	0	0	0	0	1	60	121.776	46.739	3044.41	0	0
Low	Trial     1	A3	0:20:00-0:21:00	In Arena	4.41005	192	8.96	4	1.32	59	44.72	93.2427	27.6615	2331.07	9	8
Low	Trial     1	A3	0:21:00-0:22:00	In Arena	3.6772	183	7.88	6	0.68	51	45.88	87.7315	20.0674	2193.29	7	3
Low	Trial     1	A3	0:22:00-0:23:00	In Arena	3.82759	213	9.16	5	0.68	53	43.56	90.3027	21.4197	2257.57	10	8
Low	Trial     1	A3	0:23:00-0:24:00	In Arena	4.01966	229	9.64	4	0.56	71	42.96	106.217	21.6836	2655.43	17	22
Low	Trial     1	A3	0:24:00-0:25:00	In Arena	4.5206	312	12.48	0	0	120	38.24	120.557	16.1913	3013.92	38	38
Low	Trial     1	A3	0:25:00-0:26:00	In Arena	2.34239	109	4.68	3	0.36	45	51.92	125.553	39.5623	3138.81	7	15
Low	Trial     1	A3	0:26:00-0:27:00	In Arena	1.08728	11	0.44	0	0	6	59.16	124.424	51.0547	3110.61	0	2
Low	Trial     1	A3	0:27:00-0:28:00	In Arena	3.98723	174	6.96	0	0	78	29.16	126.637	26.9223	3165.92	16	23
Low	Trial     1	A3	0:28:00-0:29:00	In Arena	NA	0	0	0	0	1	0.16	NA	NA	NA	0	0
Low	Trial     1	A3	0:30:00-0:31:00	In Arena	3.74341	54	3.2	3	1.12	22	45.72	114.186	36.9228	2854.64	6	12
Low	Trial     1	A3	0:31:00-0:32:00	In Arena	1.09637	0	0	0	0	1	60	122.359	46.5078	3058.99	0	1
Low	Trial     1	A3	0:32:00-0:33:00	In Arena	0.983558	0	0	0	0	1	60	121.456	48.9512	3036.4	1	0
Low	Trial     1	A3	0:33:00-0:34:00	In Arena	0.988842	0	0	0	0	1	60	119.14	47.133	2978.5	1	1
Low	Trial     1	A3	0:34:00-0:35:00	In Arena	0.99016	0	0	0	0	1	60	123.716	44.3013	3092.89	0	0
Low	Trial     1	A3	0:35:00-0:36:00	In Arena	3.32406	114	5.52	6	1.04	39	50.48	101.212	27.7054	2530.29	7	11
Low	Trial     1	A3	0:36:00-0:37:00	In Arena	3.46898	173	6.92	0	0	86	48.24	121.03	25.6278	3025.74	21	29
Low	Trial     1	A3	0:37:00-0:38:00	In Arena	4.11546	223	8.92	0	0	102	44.84	121.488	18.0405	3037.2	32	34
Low	Trial     1	A3	0:38:00-0:39:00	In Arena	3.95451	214	8.56	0	0	94	45.16	117.785	21.211	2944.63	28	32
Low	Trial     1	A3	0:39:00-0:40:00	In Arena	4.10192	247	9.88	0	0	100	42.44	121.546	20.5691	3038.66	27	36
Low	Trial     1	A3	0:40:00-0:41:00	In Arena	4.09043	247	9.88	0	0	119	43.12	120.842	19.7119	3021.05	33	41
Low	Trial     1	A3	0:41:00-0:42:00	In Arena	4.43913	312	12.48	0	0	130	38.32	121.604	20.3566	3040.09	28	38
Low	Trial     1	A3	0:42:00-0:43:00	In Arena	4.37881	296	11.84	0	0	119	39.24	125.006	19.6127	3125.15	30	39
Low	Trial     1	A3	0:43:00-0:44:00	In Arena	4.08863	179	7.28	0	0	63	27.64	120.192	22.0041	3004.8	21	29
Low	Trial     1	A3	0:44:00-0:45:00	In Arena	2.46103	2	0.2	0	0	0	0	180	18.285	4500	0	0
Low	Trial     1	B3	Start-0:01:00	In Arena	1.76461	38	2.04	2	0.52	14	56.64	116.723	48.6592	2918.07	5	7
Low	Trial     1	B3	0:01:00-0:02:00	In Arena	2.61353	79	3.88	4	0.76	17	53.36	105.067	35.0002	2626.68	5	6
Low	Trial     1	B3	0:02:00-0:03:00	In Arena	2.14766	67	2.96	2	0.28	13	54.64	103.348	32.5181	2583.71	2	1
Low	Trial     1	B3	0:03:00-0:04:00	In Arena	1.72246	21	1.4	4	0.64	5	57.88	115.684	46.0536	2892.09	1	3
Low	Trial     1	B3	0:04:00-0:05:00	In Arena	2.63429	121	5.36	3	0.64	43	50.84	119.887	42.9882	2997.18	9	22
Low	Trial     1	B3	0:05:00-0:06:00	In Arena	1.74483	38	1.92	2	0.44	10	56.68	109.975	52.049	2749.37	2	2
Low	Trial     1	B3	0:06:00-0:07:00	In Arena	1.75455	35	1.64	1	0.24	9	57.08	113.674	40.7774	2841.86	5	4
Low	Trial     1	B3	0:07:00-0:08:00	In Arena	1.38484	0	0	0	0	2	59.96	120.03	34.1063	3000.75	0	2
Low	Trial     1	B3	0:08:00-0:09:00	In Arena	1.19088	0	0	0	0	2	59.92	116.905	37.9622	2922.61	0	0
Low	Trial     1	B3	0:09:00-0:10:00	In Arena	1.29893	0	0	0	0	2	59.88	116.98	34.2317	2924.51	2	0
Low	Trial     1	B3	0:10:00-0:11:00	In Arena	1.7018	19	0.76	0	0	11	58.72	118.335	33.3849	2958.38	4	4
Low	Trial     1	B3	0:11:00-0:12:00	In Arena	1.24901	13	0.52	1	0.04	2	58.96	117.31	42.79	2932.76	3	0
Low	Trial     1	B3	0:12:00-0:13:00	In Arena	1.05462	1	0.04	0	0	3	59.92	116.913	45.6006	2922.82	0	1
Low	Trial     1	B3	0:13:00-0:14:00	In Arena	1.18117	3	0.12	0	0	4	59.84	118.326	43.4035	2958.16	0	4
Low	Trial     1	B3	0:14:00-0:15:00	In Arena	2.20627	40	1.6	0	0	26	57.4	121.109	30.1382	3027.72	5	9
Low	Trial     1	B3	0:15:00-0:16:00	In Arena	2.73674	88	4	4	0.52	16	52.64	115.382	29.2562	2884.55	3	4
Low	Trial     1	B3	0:16:00-0:17:00	In Arena	1.23822	0	0	0	0	1	60	140.661	41.0368	3516.53	0	0
Low	Trial     1	B3	0:17:00-0:18:00	In Arena	1.31436	0	0	0	0	1	60	137.085	38.9446	3427.12	1	0
Low	Trial     1	B3	0:18:00-0:19:00	In Arena	1.34508	0	0	0	0	1	60	136.573	36.115	3414.34	0	0
Low	Trial     1	B3	0:19:00-0:20:00	In Arena	2.59859	26	1.56	2	0.56	13	57.6	130.83	29.4484	3270.75	7	9
Low	Trial     1	B3	0:20:00-0:21:00	In Arena	2.59863	111	4.8	2	0.4	33	51.16	107.286	41.419	2682.16	3	4
Low	Trial     1	B3	0:21:00-0:22:00	In Arena	3.53637	148	7.24	8	1.4	35	47.48	100.66	34.1154	2516.49	4	11
Low	Trial     1	B3	0:22:00-0:23:00	In Arena	2.03264	62	2.76	2	0.28	20	55.08	113.255	41.1657	2831.37	5	5
Low	Trial     1	B3	0:23:00-0:24:00	In Arena	1.93755	63	2.92	3	0.44	14	54.92	108.092	40.5839	2702.31	3	3
Low	Trial     1	B3	0:24:00-0:25:00	In Arena	2.8077	92	4.16	3	0.48	27	52.64	100.74	31.8697	2518.5	9	8
Low	Trial     1	B3	0:25:00-0:26:00	In Arena	2.47273	65	3.64	6	1.16	19	54.24	106.164	40.7425	2654.09	4	6
Low	Trial     1	B3	0:26:00-0:27:00	In Arena	3.03872	75	4.32	8	1.6	14	52.96	94.2418	33.9653	2356.04	2	5
Low	Trial     1	B3	0:27:00-0:28:00	In Arena	3.12963	99	4.76	5	0.92	30	51.96	102.843	25.2801	2571.08	6	5
Low	Trial     1	B3	0:28:00-0:29:00	In Arena	4.14344	194	8.48	6	0.88	40	44.6	88.3371	20.4651	2208.43	7	7
Low	Trial     1	B3	0:29:00-0:30:00	In Arena	3.28301	134	6.08	4	0.84	33	49.36	95.0285	25.2526	2375.71	3	6
Low	Trial     1	B3	0:30:00-0:31:00	In Arena	1.32244	12	0.6	1	0.16	7	59.04	122.955	45.7219	3073.87	0	2
Low	Trial     1	B3	0:31:00-0:32:00	In Arena	1.18493	0	0	0	0	1	60	122.429	43.0046	3060.73	0	1
Low	Trial     1	B3	0:32:00-0:33:00	In Arena	3.47946	149	6.32	3	0.4	65	49.28	119.095	22.6677	2977.38	24	20
Low	Trial     1	B3	0:33:00-0:34:00	In Arena	3.7714	185	7.4	0	0	81	47.2	122.196	19.2215	3054.9	29	29
Low	Trial     1	B3	0:34:00-0:35:00	In Arena	3.09994	118	4.72	0	0	65	52.16	121.15	22.2525	3028.74	21	20
Low	Trial     1	B3	0:35:00-0:36:00	In Arena	2.94328	121	5.12	2	0.32	45	50.92	106.109	29.8545	2652.72	9	14
Low	Trial     1	B3	0:36:00-0:37:00	In Arena	2.0939	39	1.56	1	0.04	20	57.36	118.327	31.9136	2958.18	8	7
Low	Trial     1	B3	0:37:00-0:38:00	In Arena	2.70451	48	2	0	0	32	46.12	122.668	27.6647	3066.69	6	19
Low	Trial     1	B3	0:38:00-0:39:00	In Arena	3.0047	26	1.48	4	0.56	7	14.04	99.5917	44.5316	2489.79	2	0
Low	Trial     1	B3	0:39:00-0:40:00	In Arena	3.93908	195	8.08	1	0.32	91	46.08	118.178	17.4286	2954.46	27	34
Low	Trial     1	B3	0:40:00-0:41:00	In Arena	2.6949	117	4.68	0	0	56	52.08	116.487	29.5052	2912.18	20	24
Low	Trial     1	B3	0:41:00-0:42:00	In Arena	3.15547	168	6.72	0	0	82	48.6	119.202	26.5752	2980.05	20	31
Low	Trial     1	B3	0:42:00-0:43:00	In Arena	2.7266	110	4.4	0	0	48	52.32	121.792	27.4419	3044.8	13	34
Low	Trial     1	B3	0:43:00-0:44:00	In Arena	2.72673	84	3.8	6	0.68	48	38.52	120.116	29.1998	3002.89	6	21
Low	Trial     1	B3	0:44:00-0:45:00	In Arena	3.54248	115	5.52	6	1.08	30	43.96	110.28	31.0695	2756.99	7	8
Low	Trial     1	B4	Start-0:01:00	In Arena	3.95397	173	7.64	6	0.92	38	46.24	109.528	21.3901	2738.2	14	12
Low	Trial     1	B4	0:01:00-0:02:00	In Arena	3.315	129	6.04	7	1.04	31	49.6	110.098	33.4789	2752.45	3	6
Low	Trial     1	B4	0:02:00-0:03:00	In Arena	3.07057	69	4.32	9	1.84	19	53.36	116.218	38.5285	2905.44	6	9
Low	Trial     1	B4	0:03:00-0:04:00	In Arena	3.42146	109	6.44	9	2.28	25	49.64	109.734	40.4832	2743.35	4	9
Low	Trial     1	B4	0:04:00-0:05:00	In Arena	4.23007	142	7.68	13	2.4	52	48	112.81	30.8336	2820.25	11	13
Low	Trial     1	B4	0:05:00-0:06:00	In Arena	2.09429	29	2.44	4	1.4	14	56.6	115.121	47.3952	2878.02	2	0
Low	Trial     1	B4	0:06:00-0:07:00	In Arena	3.2867	114	6.44	11	2.24	32	49.72	111.565	41.8384	2789.12	5	11
Low	Trial     1	B4	0:07:00-0:08:00	In Arena	3.5543	155	6.28	1	0.12	76	49.12	120.162	19.909	3004.06	25	25
Low	Trial     1	B4	0:08:00-0:09:00	In Arena	3.06646	111	4.64	2	0.24	52	52.08	118.959	26.9071	2973.97	18	17
Low	Trial     1	B4	0:09:00-0:10:00	In Arena	3.65137	173	6.92	0	0	88	48.24	118.549	20.8822	2963.72	35	37
Low	Trial     1	B4	0:10:00-0:11:00	In Arena	3.60941	178	7.12	0	0	76	47.72	119.279	19.8191	2981.98	27	35
Low	Trial     1	B4	0:11:00-0:12:00	In Arena	3.73748	146	6.68	5	0.88	63	48.72	117.628	27.4241	2940.69	20	25
Low	Trial     1	B4	0:12:00-0:13:00	In Arena	3.59448	148	6.28	3	0.48	76	49.44	118.407	23.6889	2960.18	24	25
Low	Trial     1	B4	0:13:00-0:14:00	In Arena	3.47053	140	5.6	0	0	64	50.08	119.104	22.2627	2977.61	30	29
Low	Trial     1	B4	0:14:00-0:15:00	In Arena	2.56693	49	3.36	8	1.6	11	54.84	114.848	43.419	2871.21	2	6
Low	Trial     1	B4	0:15:00-0:16:00	In Arena	3.82289	89	4.76	5	1.28	18	52.12	121.387	22.4395	3034.69	6	6
Low	Trial     1	B4	0:16:00-0:17:00	In Arena	2.28085	3	0.12	0	0	3	59.84	144.398	22.72	3609.95	2	0
Low	Trial     1	B4	0:17:00-0:18:00	In Arena	2.48184	0	0	0	0	1	60	149.642	21.3985	3741.05	0	0
Low	Trial     1	B4	0:18:00-0:19:00	In Arena	3.05051	28	1.12	0	0	15	58.08	156.93	17.9828	3923.25	1	0
Low	Trial     1	B4	0:19:00-0:20:00	In Arena	2.76217	9	0.36	0	0	6	59.4	154.349	20.0584	3858.73	7	4
Low	Trial     1	B4	0:20:00-0:21:00	In Arena	4.42946	204	8.92	8	0.88	61	44.28	110.293	25.7407	2757.32	16	18
Low	Trial     1	B4	0:21:00-0:22:00	In Arena	3.47214	185	7.4	0	0	80	47.12	127.298	23.2446	3182.45	22	23
Low	Trial     1	B4	0:22:00-0:23:00	In Arena	4.31589	260	10.4	0	0	104	41.52	125.34	22.9727	3133.5	40	49
Low	Trial     1	B4	0:23:00-0:24:00	In Arena	3.73979	170	7.04	0	0	69	30.96	123.421	28.3591	3085.53	11	24
Low	Trial     1	B4	0:24:00-0:25:00	In Arena	3.50498	108	4.92	7	0.84	29	35.12	110.823	35.4996	2770.58	9	7
Low	Trial     1	B4	0:25:00-0:26:00	In Arena	3.02868	118	5.76	8	1.32	42	50.56	111.846	36.2002	2796.14	8	16
Low	Trial     1	B4	0:26:00-0:27:00	In Arena	2.61481	47	3.52	6	1.8	11	54.84	103.87	47.7259	2596.76	3	2
Low	Trial     1	B4	0:27:00-0:28:00	In Arena	3.4636	166	7.8	11	1.32	49	46.72	111.194	41.4816	2779.86	13	19
Low	Trial     1	B4	0:28:00-0:29:00	In Arena	2.40169	43	2.6	4	0.88	7	55.92	113.011	40.8618	2825.28	1	2
Low	Trial     1	B4	0:29:00-0:30:00	In Arena	2.3746	41	2.28	3	0.72	18	56.48	119.65	41.8429	2991.24	6	9
Low	Trial     1	B4	0:30:00-0:31:00	In Arena	7.20576	96	9.84	22	6	32	32.08	116.015	25.3947	2900.37	2	8
Low	Trial     1	B4	0:31:00-0:32:00	In Arena	2.81488	43	4.28	17	3.24	4	41	140.433	25.357	3510.82	1	0
Low	Trial     1	B4	0:32:00-0:33:00	In Arena	1.8947	0	0	0	0	1	60	149.003	28.9607	3725.07	1	1
Low	Trial     1	B4	0:33:00-0:34:00	In Arena	2.07269	0	0	0	0	1	60	151.258	28.2081	3781.46	1	0
Low	Trial     1	B4	0:34:00-0:35:00	In Arena	2.39664	8	0.32	0	0	5	59.4	149.896	24.3914	3747.41	0	0
Low	Trial     1	B4	0:35:00-0:36:00	In Arena	1.46472	0	0	0	0	2	59.88	122.576	32.7868	3064.39	0	2
Low	Trial     1	B4	0:36:00-0:37:00	In Arena	1.424	0	0	0	0	1	60	129.507	37.3421	3237.68	0	0
Low	Trial     1	B4	0:37:00-0:38:00	In Arena	1.16749	0	0	0	0	1	60	123.554	40.9409	3088.84	2	0
Low	Trial     1	B4	0:38:00-0:39:00	In Arena	1.33177	0	0	0	0	1	60	119.945	39.8016	2998.62	6	1
Low	Trial     1	B4	0:39:00-0:40:00	In Arena	1.15962	0	0	0	0	2	59.92	122.047	44.015	3051.16	2	1
Low	Trial     1	B4	0:40:00-0:41:00	In Arena	1.73983	3	0.12	0	0	3	59.8	120.063	34.3995	3001.57	4	9
Low	Trial     1	B4	0:41:00-0:42:00	In Arena	1.82385	9	0.36	0	0	6	59.44	115.847	31.8497	2896.17	7	7
